order_id,order_date,category,product_name,region,city,customer_age,customer_segment,payment_method,unit_price,quantity,discount_pct,total_sales,rating,delivery_days
ORD10866,2024-09-11,Beauty,Shampoo,West,Gwadar,42.0,New,Cash on Delivery,12.1,4,0,48.4,5.0,3.0
ORD10792,2024-10-14,Clothing,Denim Jacket,East,Lahore,25.0,Returning,cash on delivery,35.25,1,10,31.72,4.0,2.0
ORD10962,2024-12-22,Electronics,Wireless Mouse,Central,Bahawalpur,29.0,New,cash on delivery,37.47,1,10,33.72,5.0,6.0
ORD10014,2023-10-02,Clothing,Cotton T-Shirt,East,Faisalabad,17.0,New,credit card,24.54,1,0,24.54,4.0,6.0
ORD10907,2024-12-26,Books,Cookbook,Central,Multan,40.0,New,Bank Transfer,12.47,2,0,24.94,5.0,4.0
ORD10915,2023-11-03,Books,Sci-Fi Anthology,North,Gilgit,42.0,Returning,credit card,16.02,1,20,12.82,4.0,1.0
ORD10479,2024-06-07,Home & Kitchen,Coffee Maker,East,Lahore,37.0,VIP,Cash on Delivery,28.63,1,10,25.77,4.0,1.0
ORD10290,2023-02-16,Beauty,Face Moisturizer,North,Islamabad,28.0,VIP,Wallet,14.46,3,0,43.38,2.0,3.0
ORD10143,2023-05-29,Books,Cookbook,West,Zhob,28.0,New,Cash on Delivery,18.18,3,5,51.81,4.0,1.0
ORD10801,2024-02-03,Beauty,Hair Dryer,South,Hyderabad,42.0,Returning,Wallet,29.05,1,10,26.14,2.0,3.0
ORD10100,2024-09-06,Electronics,Power Bank,East,Sialkot,21.0,Returning,Credit Card,40.86,2,0,81.72,4.0,4.0
ORD10697,2024-08-15,Electronics,Webcam,North,Gilgit,38.0,New,Bank Transfer,37.09,1,25,27.82,4.0,3.0
ORD10111,2024-04-29,Home & Kitchen,Table Lamp,Central,Bahawalpur,29.0,Returning,credit card,35.75,3,15,91.16,4.0,6.0
ORD10740,2024-11-16,Electronics,Bluetooth Speaker,West,Gwadar,21.0,New,Bank Transfer,35.48,2,0,70.96,4.0,4.0
ORD10720,2024-05-02,Clothing,Cargo Pants,North,Islamabad,22.0,VIP,Credit Card,23.02,5,0,115.1,4.0,3.0
ORD10710,2024-01-06,Clothing,Denim Jacket,South,Karachi,32.0,Returning,Debit Card,34.75,1,0,34.75,4.0,2.0
ORD10378,2023-02-04,Clothing,Cargo Pants,North,Gilgit,24.0,Returning,Debit Card,25.12,1,5,23.86,3.0,6.0
ORD10930,2023-10-05,Beauty,Lipstick Set,Central,Bahawalpur,26.0,New,Wallet,17.53,1,10,15.78,5.0,1.0
ORD10452,2024-11-23,Clothing,Denim Jacket,East,Lahore,26.0,New,Cash on Delivery,29.26,1,0,29.26,4.0,2.0
ORD10095,2023-02-11,Home & Kitchen,Non-Stick Pan,North,Gilgit,41.0,Returning,Bank Transfer,20.32,1,0,20.32,4.0,3.0
ORD10410,2024-10-28,Home & Kitchen,Cutting Board,East,Faisalabad,25.0,VIP,Cash on Delivery,25.83,1,0,25.83,4.0,4.0
ORD10512,2023-01-23,Beauty,Perfume,East,Lahore,,VIP,Bank Transfer,18.93,1,0,18.93,3.0,3.0
ORD10109,2024-05-02,Books,History Book,South,Sukkur,48.0,Returning,cash on delivery,8.35,1,10,7.52,5.0,5.0
ORD10999,2024-08-03,Books,Poetry Collection,West,Quetta,28.0,Returning,credit card,7.34,3,0,22.02,,3.0
ORD10126,2024-12-04,Sports,Water Bottle,West,Quetta,33.0,New,Wallet,31.83,1,15,27.06,4.0,5.0
ORD10611,2024-03-06,Clothing,Baseball Cap,North,Peshawar,39.0,Returning,Wallet,34.58,1,0,34.58,4.0,6.0
ORD10035,2023-09-12,Electronics,Laptop Stand,East,Lahore,52.0,New,cash on delivery,45.18,2,0,90.36,3.0,2.0
ORD10054,2024-10-14,Electronics,Wireless Mouse,East,Lahore,29.0,VIP,Cash on Delivery,45.96,1,20,36.77,4.0,4.0
ORD10141,2024-10-25,Clothing,Cotton T-Shirt,West,Quetta,36.0,Returning,cash on delivery,20.68,2,0,41.36,4.0,3.0
ORD10515,2023-08-08,Sports,Resistance Bands,South,Hyderabad,19.0,VIP,Wallet,23.07,3,0,69.21,4.0,3.0
ORD10543,2023-04-06,Books,Cookbook,North,Gilgit,32.0,New,cash on delivery,12.28,2,0,24.56,4.0,3.0
ORD10172,2024-04-10,Electronics,Bluetooth Speaker,Central,Multan,16.0,New,Wallet,17.52,3,5,49.93,,3.0
ORD10508,2023-11-03,Books,History Book,North,Gilgit,25.0,New,Cash on Delivery,20.01,1,0,20.01,5.0,3.0
ORD10706,2024-08-06,Sports,Water Bottle,Central,Sahiwal,32.0,New,COD,25.79,2,0,51.58,5.0,4.0
ORD10674,2023-03-09,Beauty,Perfume,North,Gilgit,50.0,New,Bank Transfer,11.23,1,0,11.23,4.0,5.0
ORD10971,2023-10-15,Home & Kitchen,Blender,South,Sukkur,34.0,New,Wallet,28.33,1,10,25.5,4.0,2.0
ORD10651,2024-07-09,Sports,Cycling Helmet,South,Sukkur,18.0,Returning,credit card,25.48,2,20,40.77,3.0,2.0
ORD10446,2023-02-03,Sports,Cycling Helmet,South,,42.0,New,credit card,39.12,2,0,78.24,5.0,1.0
ORD10975,2024-01-28,Beauty,Shampoo,West,Gwadar,41.0,New,cash on delivery,22.16,1,0,22.16,3.0,2.0
ORD10229,2024-06-20,Electronics,USB-C Cable,West,Gwadar,28.0,Returning,Cash on Delivery,67.65,3,25,152.21,3.0,4.0
ORD10782,2024-07-15,Books,Sci-Fi Anthology,Central,Bahawalpur,45.0,New,Cash on Delivery,19.21,2,0,38.42,5.0,3.0
ORD10730,2023-07-03,Books,History Book,Central,Bahawalpur,24.0,New,cash on delivery,22.49,1,20,17.99,5.0,1.0
ORD10738,2024-06-12,Clothing,Cotton T-Shirt,Central,Sahiwal,,Returning,Cash on Delivery,10.92,4,5,41.5,5.0,3.0
ORD10300,2023-02-19,Clothing,Denim Jacket,Central,Bahawalpur,30.0,New,cash on delivery,25.71,4,15,87.41,4.0,5.0
ORD10187,2023-09-29,Beauty,Lipstick Set,North,Islamabad,42.0,New,COD,25.37,1,10,22.83,3.0,4.0
ORD10723,2024-05-08,Sports,Tennis Racket,West,Quetta,37.0,Returning,COD,38.55,1,0,38.55,4.0,5.0
ORD10485,2024-03-15,Sports,Yoga Mat,North,Peshawar,40.0,New,Debit Card,32.67,5,10,147.02,5.0,5.0
ORD10768,2024-07-24,Home & Kitchen,Blender,East,Sialkot,26.0,VIP,Wallet,33.04,1,20,26.43,5.0,1.0
ORD10169,2023-09-21,Beauty,Perfume,East,Lahore,37.0,VIP,cash on delivery,23.65,1,20,18.92,5.0,
ORD10716,2024-05-08,Clothing,Wool Sweater,Central,Bahawalpur,49.0,New,COD,22.47,1,0,22.47,5.0,7.0
ORD10685,2023-08-04,Beauty,Perfume,North,Peshawar,33.0,Returning,credit card,27.65,4,5,105.07,3.0,4.0
ORD10504,2023-06-18,Beauty,Face Moisturizer,South,,39.0,New,credit card,26.47,2,0,52.94,5.0,1.0
ORD10569,2024-03-29,Clothing,Denim Jacket,East,Sialkot,43.0,Returning,credit card,26.69,2,0,53.38,5.0,7.0
ORD10643,2024-04-06,Electronics,Power Bank,Central,Multan,57.0,Returning,Cash on Delivery,67.89,4,0,271.56,,8.0
ORD10448,2024-09-22,Sports,Tennis Racket,West,Quetta,31.0,New,Bank Transfer,45.26,1,0,45.26,,1.0
ORD10531,2023-11-27,Beauty,Face Moisturizer,East,Faisalabad,24.0,New,Cash on Delivery,19.81,5,0,99.05,4.0,2.0
ORD10447,2023-08-03,Electronics,Laptop Stand,North,,39.0,Returning,credit card,52.44,1,0,52.44,5.0,2.0
ORD10926,2024-11-05,Books,Mystery Novel,North,Gilgit,47.0,Returning,Credit Card,20.4,3,0,61.2,3.0,3.0
ORD10362,2023-11-23,Sports,Cycling Helmet,West,Zhob,48.0,Returning,COD,26.97,3,0,80.91,5.0,3.0
ORD10432,2023-04-27,Home & Kitchen,Blender,South,Hyderabad,34.0,New,cash on delivery,50.17,1,10,45.15,4.0,4.0
ORD10420,2024-10-24,Clothing,Baseball Cap,East,Lahore,36.0,Returning,COD,30.55,3,0,91.65,4.0,6.0
ORD10813,2023-10-30,Electronics,Webcam,South,Hyderabad,43.0,Returning,credit card,50.46,1,10,45.41,5.0,3.0
ORD10319,2024-12-22,Home & Kitchen,Blender,South,Sukkur,33.0,Returning,cash on delivery,29.38,3,15,74.92,4.0,3.0
ORD10027,2023-11-16,Clothing,Cargo Pants,South,Sukkur,31.0,New,credit card,19.13,5,15,81.3,4.0,6.0
ORD10058,2023-04-16,Home & Kitchen,Non-Stick Pan,South,Sukkur,35.0,New,COD,30.39,3,0,91.17,5.0,5.0
ORD10047,2024-04-14,Books,Self-Help Guide,North,Islamabad,45.0,Returning,Debit Card,17.27,2,0,34.54,3.0,4.0
ORD10610,2024-07-14,Books,Sci-Fi Anthology,West,Quetta,34.0,New,Cash on Delivery,12.21,1,0,12.21,4.0,4.0
ORD10984,2024-07-14,Beauty,Lipstick Set,South,Hyderabad,30.0,New,Credit Card,27.02,3,0,81.06,5.0,2.0
ORD10744,2024-06-09,Beauty,Lipstick Set,East,Lahore,40.0,VIP,Wallet,15.04,3,0,45.12,4.0,1.0
ORD10099,2023-07-23,Home & Kitchen,Storage Jars,West,,41.0,New,Bank Transfer,28.04,1,0,28.04,4.0,3.0
ORD10571,2024-01-18,Clothing,Wool Sweater,West,Zhob,36.0,Returning,Cash on Delivery,34.0,2,0,68.0,,5.0
ORD10165,2023-08-13,Home & Kitchen,Non-Stick Pan,Central,Bahawalpur,49.0,Returning,Wallet,46.2,2,10,83.16,3.0,3.0
ORD10510,2023-03-05,Electronics,USB-C Cable,North,Islamabad,38.0,Returning,Bank Transfer,58.45,4,25,175.35,4.0,4.0
ORD10694,2023-11-09,Books,Sci-Fi Anthology,West,Gwadar,18.0,Returning,Debit Card,15.09,5,0,75.45,1.0,3.0
ORD10973,2023-09-25,Sports,Resistance Bands,East,Lahore,44.0,Returning,Bank Transfer,31.35,2,0,62.7,4.0,4.0
ORD10790,2024-10-02,Clothing,Running Shoes,North,Peshawar,50.0,New,Wallet,39.49,6,5,225.09,3.0,2.0
ORD10044,2024-08-15,Books,Mystery Novel,Central,Multan,41.0,Returning,Debit Card,13.49,2,10,24.28,3.0,1.0
ORD10985,2024-06-21,Electronics,Wireless Mouse,West,Quetta,43.0,New,cash on delivery,26.97,2,0,53.94,5.0,5.0
ORD10238,2024-09-03,Sports,Water Bottle,Central,Multan,36.0,New,Cash on Delivery,21.99,1,0,21.99,4.0,5.0
ORD10064,2023-12-26,Home & Kitchen,Blender,North,Peshawar,48.0,Returning,COD,37.14,4,5,141.13,,3.0
ORD10604,2024-06-16,Electronics,Bluetooth Speaker,East,Faisalabad,42.0,Returning,credit card,60.67,5,0,303.35,5.0,1.0
ORD10997,2023-01-04,Sports,Water Bottle,West,Zhob,29.0,Returning,cash on delivery,23.05,1,0,23.05,5.0,4.0
ORD10164,2023-02-20,Home & Kitchen,Coffee Maker,Central,Sahiwal,39.0,VIP,cash on delivery,38.21,3,15,97.44,5.0,5.0
ORD10039,2024-02-04,Electronics,USB-C Cable,West,Quetta,21.0,New,cash on delivery,45.79,4,5,174.0,5.0,2.0
ORD10599,2023-05-13,Beauty,Shampoo,West,Quetta,16.0,Returning,COD,17.49,1,0,17.49,4.0,4.0
ORD10784,2023-12-22,Beauty,Hair Dryer,Central,Bahawalpur,16.0,Returning,Bank Transfer,17.77,5,0,88.85,4.0,5.0
ORD10363,2024-07-04,Clothing,Running Shoes,West,Quetta,16.0,Returning,Bank Transfer,29.45,2,15,50.06,1.0,7.0
ORD10154,2023-04-03,Sports,Cycling Helmet,East,Lahore,16.0,New,Debit Card,22.76,1,0,22.76,5.0,1.0
ORD10223,2023-03-11,Sports,Water Bottle,South,Hyderabad,35.0,Returning,Wallet,30.44,1,0,30.44,5.0,
ORD10927,2023-07-25,Beauty,Lipstick Set,South,Hyderabad,50.0,New,Wallet,21.44,3,5,61.1,4.0,6.0
ORD10690,2023-07-18,Electronics,Bluetooth Speaker,Central,Multan,21.0,New,cash on delivery,57.72,4,0,230.88,,4.0
ORD10139,2023-01-30,Home & Kitchen,Cutting Board,West,Quetta,18.0,VIP,Bank Transfer,28.58,1,0,28.58,5.0,5.0
ORD10337,2023-09-25,Home & Kitchen,Storage Jars,Central,Multan,24.0,Returning,Bank Transfer,32.18,2,0,64.36,3.0,7.0
ORD10557,2024-11-24,Beauty,Perfume,Central,Sahiwal,18.0,VIP,Cash on Delivery,23.34,1,0,23.34,4.0,4.0
ORD10621,2023-04-06,Home & Kitchen,Cutting Board,Central,Bahawalpur,49.0,New,credit card,24.22,3,0,72.66,5.0,1.0
ORD10684,2023-05-07,Electronics,Webcam,Central,Multan,36.0,New,COD,40.49,2,0,80.98,5.0,7.0
ORD10963,2024-06-23,Sports,Yoga Mat,South,Sukkur,36.0,VIP,Wallet,38.17,5,0,190.85,2.0,5.0
ORD10734,2023-05-29,Clothing,Wool Sweater,North,Islamabad,47.0,Returning,COD,26.47,4,0,105.88,5.0,2.0
ORD10171,2024-01-10,Clothing,Baseball Cap,West,Zhob,39.0,New,COD,20.81,3,0,62.43,1.0,3.0
ORD10553,2023-06-04,Clothing,Running Shoes,Central,Multan,63.0,Returning,Debit Card,16.52,1,25,12.39,4.0,4.0
ORD10591,2023-04-10,Sports,Tennis Racket,South,Hyderabad,45.0,Returning,Wallet,19.23,1,25,14.42,3.0,5.0
ORD10809,2023-07-17,Beauty,Hair Dryer,East,Faisalabad,21.0,New,COD,24.09,2,15,40.95,3.0,4.0
ORD10895,2024-09-07,Books,Sci-Fi Anthology,West,Quetta,32.0,Returning,Bank Transfer,5.59,1,0,5.59,,2.0
ORD10062,2023-07-24,Books,Mystery Novel,West,Quetta,31.0,Returning,cash on delivery,14.96,2,0,29.92,3.0,5.0
ORD10714,2023-09-22,Beauty,Shampoo,North,Islamabad,20.0,VIP,COD,25.17,4,0,100.68,5.0,1.0
ORD10254,2023-01-02,Sports,Dumbbell Set,East,Faisalabad,16.0,Returning,Bank Transfer,29.64,1,5,28.16,4.0,3.0
ORD10508,2023-11-03,Books,History Book,North,Gilgit,25.0,New,Cash on Delivery,20.01,1,0,20.01,5.0,3.0
ORD10559,2024-03-21,Electronics,Laptop Stand,North,Gilgit,16.0,New,Cash on Delivery,24.49,4,0,97.96,4.0,4.0
ORD10786,2023-12-19,Electronics,Wireless Mouse,Central,Multan,33.0,New,Credit Card,46.0,1,0,46.0,5.0,4.0
ORD10968,2024-09-03,Home & Kitchen,Non-Stick Pan,North,Gilgit,,Returning,Wallet,24.51,2,0,49.02,1.0,1.0
ORD10602,2024-12-11,Sports,Cycling Helmet,South,Karachi,22.0,VIP,Wallet,22.82,1,15,19.4,5.0,3.0
ORD10686,2023-06-14,Clothing,Wool Sweater,Central,Multan,39.0,New,Wallet,32.03,3,0,96.09,3.0,5.0
ORD10205,2024-06-27,Electronics,USB-C Cable,North,Islamabad,22.0,New,COD,59.96,1,5,56.96,,4.0
ORD10327,2023-03-02,Home & Kitchen,Blender,East,Sialkot,46.0,VIP,Debit Card,33.56,2,5,63.76,5.0,1.0
ORD10535,2023-08-15,Clothing,Cargo Pants,East,Sialkot,37.0,Returning,Debit Card,30.76,2,0,61.52,2.0,4.0
ORD10110,2023-08-15,Books,Mystery Novel,North,Peshawar,21.0,New,Bank Transfer,15.37,3,0,46.11,5.0,2.0
ORD10542,2023-04-18,Home & Kitchen,Coffee Maker,East,Faisalabad,46.0,New,Cash on Delivery,40.6,1,0,40.6,5.0,6.0
ORD10464,2024-03-31,Beauty,Shampoo,Central,Sahiwal,47.0,New,credit card,11.82,2,20,18.91,4.0,1.0
ORD10598,2024-04-07,Home & Kitchen,Table Lamp,North,Islamabad,31.0,New,Cash on Delivery,38.42,1,5,36.5,,1.0
ORD10996,2024-11-11,Sports,Cycling Helmet,North,Islamabad,49.0,New,Cash on Delivery,23.72,2,0,47.44,5.0,3.0
ORD10149,2023-02-07,Books,Poetry Collection,South,Hyderabad,29.0,New,credit card,16.0,1,5,15.2,2.0,4.0
ORD10633,2024-03-30,Books,Cookbook,North,Peshawar,16.0,Returning,cash on delivery,16.96,2,20,27.14,5.0,6.0
ORD10741,2024-07-16,Beauty,Face Moisturizer,North,Islamabad,36.0,New,credit card,22.09,3,15,56.33,5.0,1.0
ORD10898,2023-11-02,Electronics,Power Bank,Central,Sahiwal,42.0,New,Debit Card,34.05,2,10,61.29,1.0,2.0
ORD10206,2023-11-16,Books,Self-Help Guide,South,Hyderabad,41.0,Returning,Debit Card,12.07,2,15,20.52,5.0,2.0
ORD10737,2023-01-11,Clothing,Baseball Cap,West,Gwadar,41.0,New,Wallet,41.38,1,0,41.38,2.0,5.0
ORD10050,2024-11-14,Beauty,Hair Dryer,Central,Multan,19.0,Returning,Wallet,31.23,1,0,31.23,4.0,3.0
ORD10129,2023-11-08,Books,Mystery Novel,West,Zhob,43.0,Returning,Wallet,9.5,1,0,9.5,5.0,4.0
ORD10586,2023-06-03,Home & Kitchen,Table Lamp,East,Lahore,32.0,Returning,Bank Transfer,22.55,4,10,81.18,4.0,3.0
ORD10645,2024-12-09,Beauty,Sunscreen SPF50,Central,Multan,34.0,Returning,Cash on Delivery,19.45,1,0,19.45,4.0,4.0
ORD10703,2023-08-28,Clothing,Cotton T-Shirt,East,Faisalabad,20.0,New,Bank Transfer,11.27,4,15,38.32,4.0,2.0
ORD10400,2023-04-20,Sports,Resistance Bands,East,Faisalabad,38.0,New,Wallet,27.87,1,0,27.87,2.0,5.0
ORD10398,2024-01-25,Books,Cookbook,Central,Sahiwal,39.0,New,Wallet,12.31,1,5,11.69,3.0,6.0
ORD10397,2024-05-17,Electronics,Power Bank,East,Faisalabad,37.0,New,COD,45.28,6,0,271.68,4.0,2.0
ORD10772,2024-10-08,Clothing,Baseball Cap,East,Faisalabad,31.0,Returning,COD,19.89,2,0,39.78,4.0,4.0
ORD10418,2024-12-09,Beauty,Sunscreen SPF50,Central,Sahiwal,30.0,New,Credit Card,12.05,1,0,12.05,2.0,4.0
ORD10548,2023-03-31,Electronics,Bluetooth Speaker,North,Peshawar,28.0,New,cash on delivery,53.02,3,0,159.06,4.0,3.0
ORD10356,2024-08-31,Clothing,Denim Jacket,North,Islamabad,29.0,New,Credit Card,31.75,2,5,60.32,2.0,1.0
ORD10468,2023-06-05,Books,Self-Help Guide,South,Sukkur,31.0,VIP,cash on delivery,22.85,1,0,22.85,4.0,4.0
ORD10593,2023-12-06,Home & Kitchen,Non-Stick Pan,East,Faisalabad,16.0,New,Wallet,18.88,1,0,18.88,5.0,5.0
ORD10135,2024-11-09,Home & Kitchen,Cutting Board,West,Gwadar,32.0,VIP,Credit Card,36.79,6,0,220.74,3.0,1.0
ORD10320,2023-05-05,Home & Kitchen,Storage Jars,East,Faisalabad,45.0,Returning,COD,42.88,5,10,192.96,4.0,2.0
ORD10245,2024-04-05,Home & Kitchen,Coffee Maker,South,Hyderabad,16.0,VIP,Cash on Delivery,35.68,2,0,71.36,5.0,5.0
ORD10298,2023-06-13,Home & Kitchen,Storage Jars,East,Lahore,27.0,Returning,cash on delivery,35.77,2,10,64.39,5.0,3.0
ORD10160,2024-11-24,Sports,Yoga Mat,West,Gwadar,41.0,Returning,Debit Card,35.25,1,15,29.96,5.0,6.0
ORD10800,2024-04-16,Clothing,Baseball Cap,North,Islamabad,38.0,Returning,Debit Card,16.67,3,5,47.51,2.0,2.0
ORD10436,2024-12-11,Home & Kitchen,Coffee Maker,South,Hyderabad,35.0,New,COD,43.11,2,0,86.22,4.0,2.0
ORD10876,2024-02-23,Clothing,Denim Jacket,South,Karachi,27.0,Returning,Credit Card,33.48,1,0,33.48,4.0,1.0
ORD10049,2023-06-11,Electronics,USB-C Cable,East,Faisalabad,29.0,New,Wallet,24.49,1,10,22.04,1.0,3.0
ORD10075,2024-11-10,Sports,Yoga Mat,East,Sialkot,35.0,Returning,credit card,30.05,3,20,72.12,5.0,3.0
ORD10345,2024-04-09,Electronics,Webcam,West,Quetta,16.0,New,COD,62.61,3,5,178.44,4.0,3.0
ORD10243,2023-07-24,Beauty,Perfume,West,Quetta,,Returning,Cash on Delivery,19.85,2,10,35.73,3.0,1.0
ORD10348,2023-03-07,Electronics,Laptop Stand,East,Sialkot,57.0,Returning,Credit Card,29.02,2,0,58.04,3.0,3.0
ORD10514,2024-02-09,Electronics,USB-C Cable,Central,Bahawalpur,,Returning,COD,38.75,3,0,116.25,3.0,2.0
ORD10595,2024-11-28,Books,Cookbook,Central,Multan,40.0,New,Wallet,19.05,1,5,18.1,5.0,7.0
ORD10278,2024-04-07,Clothing,Cotton T-Shirt,South,Karachi,57.0,New,cash on delivery,22.78,1,0,22.78,5.0,7.0
ORD10583,2024-11-09,Beauty,Face Moisturizer,North,Gilgit,40.0,VIP,credit card,22.59,1,0,22.59,5.0,1.0
ORD10619,2023-11-17,Electronics,Bluetooth Speaker,East,,18.0,New,Debit Card,63.89,2,0,127.78,5.0,1.0
ORD10500,2024-10-14,Beauty,Face Moisturizer,Central,Multan,43.0,Returning,Debit Card,17.05,1,0,17.05,,4.0
ORD10781,2023-02-05,Clothing,Cargo Pants,South,Karachi,39.0,Returning,credit card,21.41,2,5,40.68,4.0,3.0
ORD10055,2024-03-13,Sports,Resistance Bands,Central,Sahiwal,45.0,Returning,Debit Card,24.7,1,5,23.46,5.0,4.0
ORD10940,2023-04-20,Beauty,Face Moisturizer,West,Zhob,35.0,New,Debit Card,9.95,2,0,19.9,5.0,1.0
ORD10098,2023-11-15,Beauty,Perfume,North,Islamabad,,New,Credit Card,16.8,3,15,42.84,4.0,7.0
ORD10807,2024-10-02,Electronics,Power Bank,Central,Bahawalpur,30.0,New,credit card,47.09,1,0,47.09,4.0,6.0
ORD10644,2023-02-19,Books,Mystery Novel,Central,Sahiwal,29.0,Returning,COD,17.68,1,20,14.14,2.0,5.0
ORD10592,2023-12-10,Sports,Tennis Racket,South,Sukkur,31.0,Returning,Bank Transfer,40.04,2,15,68.07,5.0,1.0
ORD10128,2023-06-19,Home & Kitchen,Non-Stick Pan,North,Islamabad,36.0,Returning,Wallet,35.31,1,0,35.31,3.0,3.0
ORD10492,2024-02-15,Clothing,Denim Jacket,Central,Multan,23.0,New,cash on delivery,30.7,1,0,30.7,4.0,6.0
ORD10421,2023-04-11,Home & Kitchen,Cutting Board,North,Islamabad,34.0,New,Bank Transfer,29.71,1,10,26.74,1.0,5.0
ORD10992,2024-03-27,Electronics,Bluetooth Speaker,East,Lahore,57.0,New,Bank Transfer,34.92,1,10,31.43,3.0,1.0
ORD10994,2023-09-23,Clothing,Cargo Pants,North,Peshawar,37.0,New,Debit Card,21.62,2,20,34.59,5.0,2.0
